t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi
  0.0000  -0.0000   0.0000  -0.0000   0.0000   0.1688   0.1697   0.0294   0.0190   0.0000   0.0000   0.0000 
  0.0000   0.5715   0.4377   0.4499   0.4053   0.8084   0.8275   0.6578   0.6751   0.0233  -0.0011  -0.0058 
  0.0000   0.8187   0.7052   0.7903   0.7660   0.7859   0.8128   0.6535   0.6379   0.0385  -0.0011  -0.0045 
  0.0000   1.1227   1.0740   1.1308   1.0700   0.7877   0.8214   0.6059   0.6241   0.0550   0.0002  -0.0036 
  0.0000   1.5118   1.4834   1.4104   1.5118   0.6578   0.6855   0.5661   0.5211   0.0740  -0.0016   0.0024 
  0.0000   1.7874   1.7387   1.7549   1.8117   0.6189   0.6423   0.4570   0.4475   0.0887  -0.0013   0.0003 
  0.0000   2.0062   2.0427   2.0346   2.1035   0.5237   0.5427   0.3713   0.3514   0.1023  -0.0004   0.0034 
  0.0000   2.0548   2.1278   2.2737   2.4682   0.5557   0.5219   0.2813   0.1705   0.1116  -0.0015   0.0087 
  0.0000   2.2291   2.2251   2.1562   2.2656   0.4882   0.4856   0.3705   0.2995   0.1109  -0.0014   0.0034 
  0.0000   2.2737   2.2737   2.2980   2.2656   0.5107   0.5219   0.3358   0.3038   0.1139   0.0004  -0.0011 
  0.0000   2.4723   2.4480   2.3750   2.3588   0.4111   0.4354   0.2761   0.2787   0.1207  -0.0001  -0.0013 
  0.0000   2.7722   2.4601   2.4480   2.4480   0.1800   0.3947   0.2415   0.2363   0.1266  -0.0039  -0.0101 
  0.0000   2.5574   2.5655   2.5534   2.5331   0.3012   0.3237   0.1679   0.1766   0.1276   0.0004  -0.0004 
  0.0000   2.6060   2.5817   2.5898   2.5574   0.2527   0.2943   0.1515   0.1186   0.1292   0.0001  -0.0018 
  0.0000   2.5169   2.5453   2.4926   2.3507   0.2657   0.2813   0.1714   0.2095   0.1238   0.0021  -0.0037 
  0.0000   2.5574   2.4926   2.2737   2.5453   0.2147   0.3151   0.2623   0.0987   0.1234  -0.0042   0.0067 
  0.0000   2.3993   2.4115   2.5088   2.5047   0.2666   0.3177   0.1108   0.1073   0.1228   0.0002   0.0003 
  0.0000   2.3386   2.4196   2.4318   2.3953   0.2718   0.3064   0.1428   0.1039   0.1198   0.0015   0.0014 
  0.0000   2.5412   2.3386   2.2656   2.3264   0.1558   0.3159   0.1870   0.1376   0.1184  -0.0033  -0.0046 
  0.0000   2.5169   2.5412   2.2170   2.2251   0.1463   0.1800   0.2103   0.1428   0.1188   0.0002   0.0011 
  0.0000   2.2859   2.2534   2.2372   2.3021   0.2268   0.2969   0.1757   0.1177   0.1135  -0.0012   0.0011 
  0.0000   2.2251   2.1926   2.1926   2.2008   0.2649   0.3211   0.1956   0.1316   0.1101  -0.0005  -0.0008 
  0.0000   2.1926   2.1886   2.1521   2.1319   0.2778   0.3419   0.2095   0.1619   0.1083   0.0002  -0.0008 
  0.0000   2.1319   2.1197   2.1156   2.1319   0.2735   0.3263   0.2216   0.1627   0.1062  -0.0004   0.0001 
  0.0000   2.1683   2.1643   2.1440   2.1926   0.2796   0.3324   0.1965   0.1246   0.1084  -0.0007   0.0014 
  0.0000   2.0711   2.1035   2.1278   2.0711   0.2969   0.3211   0.1887   0.1420   0.1047   0.0011  -0.0008 
  0.0000   2.0954   2.0062   2.2899   2.0832   0.2908   0.3964   0.1021   0.1705   0.1059   0.0015  -0.0096 
  0.0000   2.0913   2.0589   2.0589   2.0346   0.3073   0.3800   0.2112   0.1982   0.1030  -0.0001  -0.0018 
  0.0000   2.2656   2.1400   2.0062   2.0346   0.1861   0.3211   0.2441   0.1913   0.1056  -0.0019  -0.0032 
  0.0000   2.0103   2.3386   2.0711   1.9697   0.3237   0.1731   0.2086   0.2406   0.1049   0.0054   0.0074 
  0.0000   2.0589   1.9697   2.1035   2.0548   0.2822   0.4042   0.1973   0.2051   0.1023  -0.0005  -0.0045 
  0.0000   1.9981   2.0548   2.0832   1.9859   0.3532   0.3402   0.1913   0.2233   0.1015   0.0019  -0.0013 
  0.0000   2.0346   2.0103   2.1035   2.0305   0.3047   0.3705   0.1965   0.2294   0.1022   0.0006  -0.0032 
  0.0000   2.0184   2.0711   2.0184   2.0305   0.3272   0.3731   0.2337   0.2268   0.1017   0.0005   0.0021 
  0.0000   2.0224   2.0711   2.0589   2.0913   0.3592   0.3358   0.2320   0.1982   0.1030   0.0002   0.0026 
  0.0000   1.9819   2.0346   2.1562   2.2615   0.3549   0.3826   0.1826   0.1047   0.1054  -0.0007   0.0051 
  0.0000   2.0224   2.0346   2.1805   2.1197   0.3419   0.3860   0.1748   0.1852   0.1045   0.0009  -0.0016 
  0.0000   2.0711   2.0670   2.0427   2.1400   0.3497   0.3454   0.2164   0.1740   0.1040  -0.0013   0.0030 
  0.0000   2.1521   2.1764   2.0548   2.0792   0.2553   0.3177   0.2069   0.2008   0.1058   0.0000   0.0016 
  0.0000   2.1926   2.3264   2.0346   1.9859   0.2727   0.2527   0.2415   0.2458   0.1067   0.0023   0.0028 
  0.0000   2.0913   2.0792   2.1075   2.0913   0.3038   0.3445   0.2051   0.2086   0.1046   0.0001  -0.0009 
  0.0000   2.0792   2.0792   2.0913   2.0589   0.3445   0.3445   0.2043   0.2328   0.1039   0.0004  -0.0011 
  0.0000   2.0832   2.0792   2.1400   2.0427   0.3004   0.3488   0.1982   0.2380   0.1043   0.0012  -0.0033 
  0.0000   2.0913   2.0913   2.1562   2.0346   0.3419   0.3428   0.1783   0.2415   0.1047   0.0015  -0.0039 
  0.0000   2.0346   2.0427   2.0954   2.1521   0.3298   0.3748   0.2250   0.1844   0.1041  -0.0006   0.0021 
  0.0000   1.9616   1.9697   2.3102   2.2251   0.4146   0.3947   0.1117   0.1446   0.1058   0.0012  -0.0025 
  0.0000   1.9859   2.0548   2.0305   2.0103   0.3956   0.3800   0.2510   0.2597   0.1010   0.0011   0.0016 
  0.0000   2.0954   2.0913   2.0589   2.0913   0.3073   0.3601   0.2328   0.2173   0.1042  -0.0005   0.0009 
  0.0000   2.3629   2.2170   2.0832   2.1562   0.2103   0.2865   0.2216   0.1948   0.1102  -0.0027  -0.0024 
  0.0000   2.1562   2.4075   2.1440   2.1643   0.3038   0.1411   0.1887   0.1645   0.1109   0.0029   0.0088 
  0.0000   2.2008   2.1075   2.1521   2.1440   0.2441   0.2978   0.1714   0.1965   0.1076  -0.0011  -0.0033 
  0.0000   2.1319   2.1319   2.1562   2.0062   0.3255   0.3211   0.1835   0.2657   0.1053   0.0019  -0.0049 
  0.0000   2.1440   2.1035   2.0670   1.9697   0.2709   0.3038   0.2138   0.2943   0.1036   0.0007  -0.0045 
  0.0000   2.1197   2.0792   2.0832   2.0670   0.3194   0.3289   0.2138   0.2432   0.1044  -0.0003  -0.0018 
  0.0000   2.1400   2.0832   2.0792   2.1562   0.2891   0.3384   0.2077   0.1956   0.1057  -0.0017   0.0007 
  0.0000   2.0467   1.9859   2.2494   2.2251   0.3532   0.3635   0.1350   0.1662   0.1063  -0.0005  -0.0028 
  0.0000   2.0305   2.0224   2.2859   2.0467   0.3783   0.4008   0.1117   0.2553   0.1048   0.0029  -0.0080 
  0.0000   2.0548   2.0467   2.0589   2.0346   0.3211   0.3549   0.2077   0.2692   0.1024   0.0002  -0.0011 
  0.0000   2.3507   2.2170   2.0184   2.0913   0.2025   0.2553   0.2328   0.2441   0.1085  -0.0026  -0.0020 
  0.0000   1.9738   2.0467   2.0589   2.0548   0.3410   0.3436   0.2190   0.2640   0.1017   0.0010   0.0022 
  0.0000   2.0589   2.0670   2.0589   2.1035   0.3480   0.3454   0.2294   0.2510   0.1036  -0.0005   0.0017 
  0.0000   2.0792   2.0427   2.0062   2.0346   0.3177   0.3670   0.2501   0.2770   0.1020  -0.0008  -0.0003 
  0.0000   2.0467   2.0184   2.0224   2.0224   0.3445   0.3679   0.2597   0.3133   0.1014  -0.0004  -0.0009 
  0.0000   2.0832   2.0792   2.0184   2.0103   0.3081   0.3713   0.2675   0.2934   0.1024   0.0001  -0.0004 
  0.0000   2.1197   2.0548   2.0954   2.1035   0.3445   0.3428   0.2250   0.2545   0.1047  -0.0009  -0.0018 
  0.0000   2.0548   2.0832   2.2413   2.3467   0.3289   0.3774   0.1506   0.1186   0.1091  -0.0010   0.0043 
  0.0000   2.1035   2.0792   2.0792   2.1156   0.3185   0.3402   0.2060   0.2225   0.1047  -0.0008   0.0004 
  0.0000   2.1643   2.1156   2.1400   2.1400   0.2874   0.3454   0.2008   0.2173   0.1070  -0.0006  -0.0016 
  0.0000   2.3953   2.3507   2.0548   2.0062   0.1826   0.2077   0.2328   0.2796   0.1101   0.0001  -0.0030 
  0.0000   2.2291   1.9454   2.0346   2.0184   0.2337   0.4362   0.2545   0.2908   0.1028  -0.0033  -0.0097 
  0.0000   2.0346   2.0711   2.0224   2.0670   0.3220   0.3575   0.2545   0.2753   0.1024  -0.0001   0.0026 
  0.0000   2.0548   2.0467   2.0711   2.0305   0.3367   0.3739   0.2354   0.2830   0.1025   0.0004  -0.0016 
  0.0000   2.0305   2.0224   2.0346   2.0467   0.3454   0.3748   0.2718   0.2882   0.1017  -0.0003   0.0001 
  0.0000   2.0548   2.0467   1.9859   2.0224   0.3159   0.3696   0.2908   0.3064   0.1014  -0.0006   0.0009 
  0.0000   2.0711   2.1400   1.9373   2.1643   0.3393   0.3549   0.3454   0.2242   0.1039  -0.0020   0.0096 
  0.0000   2.0832   2.1075   2.1643   2.3507   0.3081   0.3436   0.2043   0.1203   0.1088  -0.0020   0.0068 
  0.0000   2.0670   2.0954   2.1035   2.1278   0.3324   0.3791   0.2458   0.2346   0.1049   0.0001   0.0017 
  0.0000   2.2048   2.1156   2.1156   2.1521   0.2242   0.3324   0.2406   0.2060   0.1074  -0.0016  -0.0017 
  0.0000   2.3953   2.1805   2.1278   2.1764   0.1376   0.3220   0.2346   0.2095   0.1110  -0.0033  -0.0054 
  0.0000   2.2737   2.3102   2.1400   2.0224   0.1965   0.2372   0.2380   0.2683   0.1093   0.0019  -0.0026 
  0.0000   2.1156   2.0467   2.0711   2.0548   0.2649   0.3748   0.2657   0.2692   0.1036  -0.0007  -0.0028 
  0.0000   2.0670   2.0711   2.0427   2.0467   0.3038   0.3696   0.2744   0.2701   0.1028   0.0000   0.0003 
  0.0000   2.0589   2.0913   2.0670   2.0305   0.2727   0.3843   0.2796   0.2865   0.1031   0.0009  -0.0001 
  0.0000   2.0711   2.0670   2.0954   2.0832   0.3004   0.3514   0.2709   0.2571   0.1040   0.0001  -0.0005 
