t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi 
  0.0000  -0.0000   0.0000  -0.0041   0.0000  -0.0943   0.2839   0.1471   0.0355  -0.0001  -0.0001   0.0001 
  0.0000   1.0457   1.4834   0.6931   1.7185   0.2311   2.2557   1.0465   2.0471   0.0618  -0.0073   0.0475 
  0.0000   1.3294   2.8614   1.4591   2.8006   0.1601   2.0869   0.7314   2.0073   0.1056   0.0024   0.0933 
  0.0000   1.5320   5.1067   2.2291   4.0529   0.1316   1.8116   0.6284   1.9631   0.1615   0.0219   0.1753 
  0.0000   1.7509   5.8281   2.4358   5.3134   0.0718   1.9164   0.7297   1.6628   0.1916   0.0150   0.2258 
  0.0000   1.4104   6.8697   3.1167   6.3104   0.1186   1.9571   0.5834   1.3261   0.2213   0.0283   0.2809 
  0.0000   1.5118   7.9195   3.3072   6.3104   0.2796   1.8999   0.6353   1.3685   0.2381   0.0426   0.3056 
  0.0000   1.0132   8.5517   3.5017   6.5820   0.1852   2.0090   0.6812   1.1997   0.2456   0.0557   0.3448 
  0.0000   0.8754   9.1840   3.7611   6.8495   0.1194   2.0298   0.7167   0.9400   0.2584   0.0653   0.3700 
  0.0000   1.1105  10.7282   3.9395   6.4118  -0.2874   1.4022   0.7617   1.0119   0.2774   0.0893   0.3925 
  0.0000   0.7782   9.8730   4.4299   6.7765  -0.3168   1.9951   0.6769   0.6353   0.2732   0.0844   0.3715 
  0.0000   0.8795  10.9105   4.3650   6.2172  -0.6275   1.6333   0.7989   0.6656   0.2797   0.1022   0.3858 
  0.0000   0.2310  10.2661   4.3529   6.5698  -0.6336   1.9891   0.8586   0.2363   0.2677   0.0977   0.3978 
  0.0000   0.1337  11.4780   4.5028   6.1281  -0.8422   1.5243   0.8664   0.1722   0.2780   0.1215   0.4211 
  0.0000  -0.1013  10.4728   4.4501   5.9497  -1.0370   2.0696   0.9781   0.1307   0.2596   0.1134   0.3920 
  0.0000  -0.5026  10.7727   5.3621   3.5301  -1.0222   1.8999   0.5271   0.6414   0.2395   0.1638   0.3066 
  0.0000  -1.0092  10.0837   4.9649   3.0519  -1.1356   2.3890   0.7816   0.5505   0.2136   0.1626   0.2980 
  0.0000  -1.5077  10.5174   4.9405   3.7125  -1.1443   2.0653   0.7903   0.0666   0.2208   0.1657   0.3506 
  0.0000  -2.0589  10.4607   4.7217   3.0276  -1.2092   2.1778   0.9192   1.0205   0.2019   0.1777   0.3515 
  0.0000  -2.4926  10.2985   5.1837   2.0224  -1.2326   2.1925   0.6249   0.2476   0.1877   0.1994   0.3127 
  0.0000  -3.3356  10.1324   4.7095   1.8887  -1.0768   2.3241   0.8716   0.5479   0.1674   0.2036   0.3457 
  0.0000  -3.5261  10.1162   4.6852   1.4347  -1.1945   2.2271   0.8604   0.0935   0.1589   0.2112   0.3374 
  0.0000  -3.9273   9.6420   4.2475   1.4874  -1.3087   2.5604   1.0776   0.2501   0.1431   0.2041   0.3509 
  0.0000  -4.1016  10.7646   4.2840   0.8795  -1.4524   1.9752   1.0300   0.0995   0.1478   0.2284   0.3721 
  0.0000  -4.9122  10.0351   4.4745   1.1065  -1.2767   2.2003   0.8803  -0.3306   0.1338   0.2289   0.3760 
